County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,108,0.223140496,376,484
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,60,0.4,90,150
DUVAL,100151,MAYO CLINIC,50,0.164473684,254,304
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,195,0.390781563,304,499
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,8,0.057553957,131,139
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,2,0.08,23,25
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,30,0.357142857,54,84
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,64,0.198757764,258,322
DUVAL,23960061,WEKIVA SPRINGS,59,0.418439716,82,141
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,19,0.140740741,116,135
DUVAL,23960123,UF HEALTH NORTH,20,0.217391304,72,92
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,57,0.286432161,142,199
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,196,0.361623616,346,542
ESCAMBIA,100093,BAPTIST HOSPITAL,91,0.213615023,335,426
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,151,0.365617433,262,413
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,8,0.106666667,67,75
FLAGLER,100118,ADVENTHEALTH PALM COAST,6,0.060606061,93,99
FRANKLIN,100153,GEORGE E WEEMS MEMORIAL HOSPITAL,12,0.8,3,15
GADSDEN,100159,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",4,1,0,4
GADSDEN,104000,FLORIDA STATE HOSPITAL,384,0.404636459,565,949
GULF,23960084,ASCENSION SACRED HEART GULF,15,0.714285714,6,21
HARDEE,100282,ADVENTHEALTH WAUCHULA,8,0.32,17,25
HENDRY,100098,HENDRY REGIONAL MEDICAL CENTER,26,0.896551724,3,29
HERNANDO,100071,BAYFRONT HEALTH BROOKSVILLE,47,0.427272727,63,110
HERNANDO,100264,OAK HILL HOSPITAL,100,0.285714286,250,350
HERNANDO,110054,SPRINGBROOK HOSPITAL,0,0,78,78
HERNANDO,111525,BAYFRONT HEALTH SPRING HILL,79,0.612403101,50,129
HERNANDO,23960042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,22,0.275,58,80
HIGHLANDS,100049,HIGHLANDS REGIONAL MEDICAL CENTER,9,0.138461538,56,65
HIGHLANDS,100109,ADVENTHEALTH SEBRING,34,0.198830409,137,171
HIGHLANDS,120013,ADVENTHEALTH LAKE PLACID,7,0.35,13,20
HILLSBOROUGH,100069,ADVENTHEALTH CARROLLWOOD,21,0.196261682,86,107
HILLSBOROUGH,100075,ST JOSEPHS HOSPITAL,177,0.252136752,525,702
HILLSBOROUGH,100115,KINDRED HOSPITAL-BAY AREA-TAMPA,15,0.205479452,58,73
HILLSBOROUGH,100128,TAMPA GENERAL HOSPITAL,199,0.188983856,854,"1,053"
HILLSBOROUGH,100132,SOUTH FLORIDA BAPTIST HOSPITAL,21,0.185840708,92,113
HILLSBOROUGH,100143,KINDRED HOSPITAL-CENTRAL TAMPA,12,0.131868132,79,91
HILLSBOROUGH,100173,ADVENTHEALTH TAMPA,127,0.236940299,409,536
HILLSBOROUGH,100206,MEMORIAL HOSPITAL OF TAMPA,4,0.033898305,114,118
HILLSBOROUGH,100243,BRANDON REGIONAL HOSPITAL,176,0.359183673,314,490
HILLSBOROUGH,100255,TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA,14,0.333333333,28,42
HILLSBOROUGH,100259,SOUTH BAY HOSPITAL,0,0,71,71
HILLSBOROUGH,110009,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL,47,0.177358491,218,265
HILLSBOROUGH,23960100,ST JOSEPHS HOSPITAL NORTH,23,0.181102362,104,127
HILLSBOROUGH,23960105,ST JOSEPHS HOSPITAL SOUTH,45,0.254237288,132,177
HILLSBOROUGH,23960113,ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,0,0,60,60
HOLMES,100078,DOCTORS MEMORIAL HOSPITAL,13,0.65,7,20
INDIAN RIVER,100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,139,0.446945338,172,311
INDIAN RIVER,100217,STEWARD SEBASTIAN RIVER MEDICAL CENTER,13,0.191176471,55,68
INDIAN RIVER,110017,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST,16,0.246153846,49,65
JACKSON,100138,CAMPBELLTON-GRACEVILLE HOSPITAL,0,0,0,0
JACKSON,100142,JACKSON HOSPITAL,55,0.611111111,35,90
LAKE,100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,14,0.068292683,191,205
LAKE,100057,ADVENTHEALTH WATERMAN,86,0.286666667,214,300
LAKE,100084,UF HEALTH LEESBURG HOSPITAL INC,121,0.366666667,209,330
LAKE,100214,UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER,10,0.476190476,11,21
LAKE,104018,LIFESTREAM BEHAVIORAL CENTER,13,0.282608696,33,46
LEE,100012,LEE MEMORIAL HOSPITAL,43,0.136942675,271,314
LEE,100107,LEHIGH REGIONAL MEDICAL CENTER,17,0.386363636,27,44
LEE,100220,GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM,137,0.252767528,405,542
LEE,100244,CAPE CORAL HOSPITAL,27,0.098181818,248,275
LEE,120005,HEALTHPARK MEDICAL CENTER,153,0.337748344,300,453
LEE,23960103,PARK ROYAL HOSPITAL,28,0.245614035,86,114
LEE,23960107,SELECT SPECIALTY HOSPITAL-FORT MYERS,18,0.3,42,60
LEON,100135,TALLAHASSEE MEMORIAL HOSPITAL,74,0.134545455,476,550
LEON,100254,CAPITAL REGIONAL MEDICAL CENTER,59,0.218518519,211,270
LEON,110021,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE,10,0.175438596,47,57
LEON,110044,EASTSIDE PSYCHIATRIC HOSPITAL,11,0.34375,21,32
LEON,23960059,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,10,0.208333333,38,48
MADISON,100004,MADISON COUNTY MEMORIAL HOSPITAL,7,0.466666667,8,15
MANATEE,100035,MANATEE MEMORIAL HOSPITAL,17,0.063197026,252,269
MANATEE,100213,BLAKE MEDICAL CENTER,27,0.1,243,270
MANATEE,110028,CENTERSTONE OF FLORIDA,8,0.205128205,31,39
MANATEE,110049,SUNCOAST BEHAVIORAL HEALTH CENTER,18,0.3,42,60
MANATEE,23960046,LAKEWOOD RANCH MEDICAL CENTER,39,0.342105263,75,114
MARION,100062,ADVENTHEALTH OCALA,6,0.022140221,265,271
MARION,100212,OCALA REGIONAL MEDICAL CENTER,14,0.0546875,242,256
MARION,23960039,WEST MARION COMMUNITY HOSPITAL,48,0.258064516,138,186
MARION,23960060,KINDRED HOSPITAL OCALA,7,0.388888889,11,18
MARION,23960073,THE VINES HOSPITAL,42,0.428571429,56,98
MARION,23960109,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,40,0.5,40,80
MARTIN,100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,78,0.464285714,90,168
MARTIN,120009,CLEVELAND CLINIC MARTIN SOUTH HOSPITAL,50,0.490196078,52,102
MARTIN,23960112,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,12,0.15,68,80
MARTIN,23960125,CORAL SHORES BEHAVIORAL HEALTH,44,0.55,36,80
MIAMI-DADE,100008,BAPTIST HOSPITAL OF MIAMI,176,0.229465450,591,767
MIAMI-DADE,100009,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-UHEALTH TOWER,193,0.400414938,289,482
MIAMI-DADE,100020,DOCTORS HOSPITAL,55,0.410447761,79,134
MIAMI-DADE,100022,JACKSON MEMORIAL HOSPITAL,398,0.227949599,"1,348","1,746"
MIAMI-DADE,100029,NORTH SHORE MEDICAL CENTER,59,0.219330855,210,269
MIAMI-DADE,100034,MOUNT SINAI MEDICAL CENTER,189,0.349353050,352,541
MIAMI-DADE,100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,107,0.622093023,65,172
MIAMI-DADE,100053,HIALEAH HOSPITAL,112,0.459016393,132,244
MIAMI-DADE,100061,"MERCY HOSPITAL, A CAMPUS OF PLANTATION GENERAL HOSPITAL",204,0.462585034,237,441
MIAMI-DADE,100076,VARIETY CHILDREN'S HOSPITAL,0,0,0,0
MIAMI-DADE,100079,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPREHENSIVE,17,0.425,23,40
MIAMI-DADE,100114,JACKSON NORTH MEDICAL CENTER,60,0.201342282,238,298
MIAMI-DADE,100125,HOMESTEAD HOSPITAL,31,0.2,124,155
MIAMI-DADE,100131,AVENTURA HOSPITAL AND MEDICAL CENTER,88,0.225063939,303,391
MIAMI-DADE,100152,KINDRED HOSPITAL-SOUTH FLORIDA-CORAL GABLES,9,0.163636364,46,55
MIAMI-DADE,100154,SOUTH MIAMI HOSPITAL,118,0.265168539,327,445
MIAMI-DADE,100165,WESTCHESTER GENERAL HOSPITAL,12,0.115384615,92,104
MIAMI-DADE,100181,LARKIN COMMUNITY HOSPITAL,38,0.333333333,76,114
MIAMI-DADE,100183,CORAL GABLES HOSPITAL,40,0.314960630,87,127
MIAMI-DADE,100187,PALMETTO GENERAL HOSPITAL,292,0.580516899,211,503
MIAMI-DADE,100197,DOUGLAS GARDENS HOSPITAL,29,0.90625,3,32
MIAMI-DADE,100208,JACKSON SOUTH MEDICAL CENTER,34,0.147826087,196,230
MIAMI-DADE,100209,KENDALL REGIONAL MEDICAL CENTER,129,0.291855204,313,442
MIAMI-DADE,100240,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-BASCOM PALMER EYE INST,0,0,0,0
MIAMI-DADE,103004,ST CATHERINE'S REHABILITATION HOSPITAL,17,0.772727273,5,22
MIAMI-DADE,103038,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIAMI,30,0.5,30,60
MIAMI-DADE,110040,SOUTHERN WINDS,12,0.166666667,60,72
MIAMI-DADE,110041,WEST GABLES REHABILITATION HOSPITAL,6,0.1,54,60
MIAMI-DADE,110199,NICKLAUS CHILDREN'S HOSPITAL,121,0.423076923,165,286
MIAMI-DADE,120014,SOUTH FLORIDA EVALUATION AND TREATMENT CENTER,2,0.010362694,191,193
MIAMI-DADE,23960028,SELECT SPECIALTY HOSPITAL-MIAMI,12,0.255319149,35,47
MIAMI-DADE,23960064,WEST KENDALL BAPTIST HOSPITAL,16,0.103225806,139,155
MIAMI-DADE,23960094,SELECT SPECIALTY HOSPITAL-MIAMI LAKES,0,0,50,50
MIAMI-DADE,23960097,ST CATHERINE'S WEST REHABILITATION HOSPITAL,26,0.65,14,40
MONROE,100024,FISHERMEN'S COMMUNITY HOSPITAL,5,0.555555556,4,9
MONROE,100150,DEPOO HOSPITAL,31,0.688888889,14,45
MONROE,100160,MARINERS HOSPITAL,18,0.439024390,23,41
MONROE,100195,LOWER KEYS MEDICAL CENTER,34,0.548387097,28,62
NASSAU,100140,BAPTIST MEDICAL CENTER NASSAU,29,0.426470588,39,68
OKALOOSA,100054,TWIN CITIES HOSPITAL,10,0.232558140,33,43
OKALOOSA,100122,NORTH OKALOOSA MEDICAL CENTER,47,0.408695652,68,115
OKALOOSA,100223,FORT WALTON BEACH MEDICAL CENTER,20,0.084033613,218,238
OKALOOSA,111520,GULF COAST TREATMENT CENTER,0,0,28,28
OKALOOSA,23960106,"REHABILITATION INSTITUTE OF NORTHWEST FLORIDA, THE",1,0.033333333,29,30
OKEECHOBEE,100252,RAULERSON HOSPITAL,62,0.62,38,100
ORANGE,100006,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,184,0.225766871,631,815
ORANGE,100007,ADVENTHEALTH ORLANDO,383,0.280791789,981,"1,364"
ORANGE,100021,ADVENTHEALTH EAST ORLANDO,42,0.142372881,253,295
ORANGE,100030,ORLANDO HEALTH - HEALTH CENTRAL HOSPITAL,29,0.155913978,157,186
ORANGE,100129,ASPIRE HEALTH PARTNERS,4,0.076923077,48,52
ORANGE,100162,ADVENTHEALTH WINTER PARK,221,0.523696682,201,422
ORANGE,110047,UNIVERSITY BEHAVIORAL CENTER,20,0.173913043,95,115
ORANGE,110051,LA AMISTAD RESIDENTIAL TREATMENT CENTER,0,0,19,19
ORANGE,120001,ARNOLD PALMER MEDICAL CENTER,181,0.397802198,274,455
ORANGE,120002,ORLANDO HEALTH DR P PHILLIPS HOSPITAL,33,0.15,187,220
ORANGE,120003,ADVENTHEALTH APOPKA,24,0.2,96,120
ORANGE,23960043,SELECT SPECIALTY HOSPITAL - ORLANDO (NORTH CAMPUS),6,0.171428571,29,35
ORANGE,23960068,SELECT SPECIALTY HOSPITAL - ORLANDO (SOUTH CAMPUS),0,0,64,64
ORANGE,23960083,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,0,0,150,150
ORANGE,23960096,NEMOURS CHILDREN'S HOSPITAL,31,0.274336283,82,113
OSCEOLA,100074,ORLANDO HEALTH ST CLOUD HOSPITAL,35,0.376344086,58,93
OSCEOLA,100089,ADVENTHEALTH KISSIMMEE,34,0.198830409,137,171
OSCEOLA,100110,OSCEOLA REGIONAL MEDICAL CENTER,95,0.219907407,337,432
OSCEOLA,23960017,ADVENTHEALTH CELEBRATION,114,0.359621451,203,317
OSCEOLA,23960111,POINCIANA MEDICAL CENTER,30,0.394736842,46,76
OSCEOLA,23960129,BLACKBERRY CENTER,5,0.078125,59,64
PALM BEACH,100002,BETHESDA HOSPITAL EAST,162,0.415384615,228,390
PALM BEACH,100010,ST MARY'S MEDICAL CENTER,168,0.355932203,304,472
PALM BEACH,100080,JFK MEDICAL CENTER,230,0.377049180,380,610
PALM BEACH,100130,LAKESIDE MEDICAL CENTER,49,0.7,21,70
PALM BEACH,100168,BOCA RATON REGIONAL HOSPITAL,133,0.371508380,225,358
PALM BEACH,100176,PALM BEACH GARDENS MEDICAL CENTER,52,0.285714286,130,182
PALM BEACH,100234,JFK MEDICAL CENTER NORTH CAMPUS,109,0.469827586,123,232
PALM BEACH,100253,JUPITER MEDICAL CENTER,105,0.430327869,139,244
PALM BEACH,100258,DELRAY MEDICAL CENTER,110,0.25,330,440
PALM BEACH,104008,THE JEROME GOLDEN CENTER FOR BEHAVIORAL HEALTH INC,0,0,0,0
PALM BEACH,110006,PALMS WEST HOSPITAL,47,0.230392157,157,204
PALM BEACH,110008,WEST BOCA MEDICAL CENTER,105,0.486111111,111,216
PALM BEACH,110010,WELLINGTON REGIONAL MEDICAL CENTER,33,0.165,167,200
PALM BEACH,110403,GOOD SAMARITAN MEDICAL CENTER,14,0.084337349,152,166
PALM BEACH,23960072,SELECT SPECIALTY HOSPITAL- PALM BEACH,1,0.016666667,59,60
PALM BEACH,23960074,KINDRED HOSPITAL THE PALM BEACHES,19,0.271428571,51,70
PALM BEACH,23960098,BETHESDA HOSPITAL WEST,7,0.0875,73,80
PASCO,100046,ADVENTHEALTH ZEPHYRHILLS,19,0.134751773,122,141
PASCO,100063,MORTON PLANT NORTH BAY HOSPITAL,19,0.122580645,136,155
PASCO,100191,MEDICAL CENTER OF TRINITY,74,0.302040816,171,245
PASCO,100211,ADVENTHEALTH DADE CITY,13,0.158536585,69,82
PASCO,100256,REGIONAL MEDICAL CENTER BAYONET POINT,46,0.158620690,244,290
PASCO,23960082,ADVENTHEALTH CONNERTON,9,0.138461538,56,65
PASCO,23960099,ADVENTHEALTH WESLEY CHAPEL,2,0.018018018,109,111
PASCO,23960102,MORTON PLANT NORTH BAY HOSPITAL RECOVERY CENTER,0,0,61,61
PASCO,23960110,MEDICAL CENTER OF TRINITY WEST PASCO CAMPUS,27,0.435483871,35,62
PASCO,23960114,NORTH TAMPA BEHAVIORAL HEALTH,46,0.365079365,80,126
PINELLAS,100015,LARGO MEDICAL CENTER - INDIAN ROCKS,19,0.177570093,88,107
PINELLAS,100032,BAYFRONT HEALTH ST PETERSBURG,193,0.480099502,209,402
PINELLAS,100043,MEASE DUNEDIN HOSPITAL,41,0.25625,119,160
PINELLAS,100055,ADVENTHEALTH NORTH PINELLAS,15,0.133928571,97,112
PINELLAS,100067,ST ANTHONYS HOSPITAL,40,0.109890110,324,364
PINELLAS,100126,PALMS OF PASADENA HOSPITAL,207,0.758241758,66,273
PINELLAS,100127,MORTON PLANT HOSPITAL,63,0.145833333,369,432
PINELLAS,100180,ST PETERSBURG GENERAL HOSPITAL,59,0.495798319,60,119
PINELLAS,100238,NORTHSIDE HOSPITAL,0,0,139,139
PINELLAS,100248,LARGO MEDICAL CENTER,89,0.298657718,209,298
PINELLAS,100250,JOHNS HOPKINS ALL CHILDREN'S HOSPITAL,30,0.162162162,155,185
PINELLAS,104017,WINDMOOR HEALTHCARE OF CLEARWATER,33,0.323529412,69,102
PINELLAS,110001,MEASE COUNTRYSIDE HOSPITAL,74,0.286821705,184,258
PINELLAS,110045,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LARGO,7,0.107692308,58,65
PINELLAS,23960011,KINDRED HOSPITAL-BAY AREA-ST PETERSBURG,34,0.390804598,53,87
PINELLAS,23960085,BAYCARE ALLIANT HOSPITAL,18,0.375,30,48
POLK,100052,WINTER HAVEN HOSPITAL,50,0.148809524,286,336
POLK,100099,ADVENTHEALTH LAKE WALES,94,0.5875,66,160
POLK,100121,BARTOW REGIONAL MEDICAL CENTER,32,0.470588235,36,68
POLK,100137,ADVENTHEALTH HEART OF FLORIDA,72,0.378947368,118,190
POLK,100157,LAKELAND REGIONAL MEDICAL CENTER,175,0.197963801,709,884
POLK,120010,WINTER HAVEN WOMEN'S HOSPITAL,5,0.138888889,31,36
PUTNAM,100232,PUTNAM COMMUNITY MEDICAL CENTER,21,0.25,63,84
SANTA ROSA,100048,JAY HOSPITAL,4,0.190476190,17,21
SANTA ROSA,100124,SANTA ROSA MEDICAL CENTER,85,0.634328358,49,134
SANTA ROSA,104027,WEST FLORIDA COMMUNITY CARE CENTER,100,1,0,100
SANTA ROSA,110003,GULF BREEZE HOSPITAL,47,0.546511628,39,86
SARASOTA,100070,VENICE REGIONAL BAYFRONT HEALTH,112,0.571428571,84,196
SARASOTA,100087,SARASOTA MEMORIAL HOSPITAL,53,0.081916538,594,647
SARASOTA,100166,DOCTORS HOSPITAL OF SARASOTA,49,0.342657343,94,143
SARASOTA,110004,ENGLEWOOD COMMUNITY HOSPITAL,25,0.480769231,27,52
SARASOTA,110013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SARASOTA,0,0,90,90
SARASOTA,23960049,PAM SPECIALTY HOSPITAL OF SARASOTA,9,0.225,31,40
SEMINOLE,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,62,0.298076923,146,208
SEMINOLE,100263,ORLANDO HEALTH SOUTH SEMINOLE HOSPITAL,63,0.277533040,164,227
SEMINOLE,120004,ADVENTHEALTH ALTAMONTE SPRINGS,152,0.386768448,241,393
SEMINOLE,23960115,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALTAMONTE SPRINGS,0,0,60,60
SEMINOLE,23960121,OVIEDO MEDICAL CENTER,23,0.359375,41,64
ST. JOHNS,100219,FLAGLER HOSPITAL,169,0.510574018,162,331
ST. LUCIE,100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,91,0.230964467,303,394
ST. LUCIE,100260,ST LUCIE MEDICAL CENTER,65,0.283842795,164,229
ST. LUCIE,110022,PORT ST LUCIE HOSPITAL,2,0.026666667,73,75
ST. LUCIE,23960108,CLEVELAND CLINIC TRADITION HOSPITAL,28,0.153846154,154,182
SUMTER,23960032,UF HEALTH THE VILLAGES HOSPITAL,106,0.345276873,201,307
SUMTER,23960086,SELECT SPECIALTY HOSPITAL-THE VILLAGES INC,5,0.125,35,40
SUWANNEE,100146,LAKE CITY MEDICAL CENTER SUWANNEE CAMPUS,0,0,0,0
TAYLOR,100106,DOCTORS' MEMORIAL HOSPITAL,8,0.666666667,4,12
UNION,100241,LAKE BUTLER HOSPITAL,18,0.72,7,25
UNION,110183,RECEPTION AND MEDICAL CENTER HOSPITAL,10,0.188679245,43,53
VOLUSIA,100014,ADVENTHEALTH NEW SMYRNA BEACH,54,0.495412844,55,109
VOLUSIA,100017,HALIFAX HEALTH MEDICAL CENTER,162,0.3375,318,480
VOLUSIA,100045,ADVENTHEALTH DELAND,55,0.335365854,109,164
VOLUSIA,100072,ADVENTHEALTH FISH MEMORIAL,40,0.216216216,145,185
VOLUSIA,100169,ADVENTHEALTH DAYTONA BEACH,97,0.241293532,305,402
VOLUSIA,110016,HALIFAX PSYCHIATRIC CENTER-NORTH,21,0.65625,11,32
VOLUSIA,23960051,HALIFAX HEALTH MEDICAL CENTER- PORT ORANGE,15,0.211267606,56,71
VOLUSIA,23960120,SELECT SPECIALTY HOSPITAL - DAYTONA BEACH,1,0.029411765,33,34
VOLUSIA,23960152,HALIFAX HEALTH UF HEALTH MEDICAL CENTER OF DELTONA,25,0.581395349,18,43
WALTON,100081,HEALTHMARK REGIONAL MEDICAL CENTER,6,0.461538462,7,13
WALTON,23960041,ASCENSION SACRED HEART EMERALD COAST,59,0.567307692,45,104
WASHINGTON,100147,NORTHWEST FLORIDA COMMUNITY HOSPITAL,18,0.305084746,41,59
