County,FileNumber,Measure Names,ProviderName,Measure Values
BREVARD,100019,Total Staffed Bed Capacity,HOLMES REGIONAL MEDICAL CENTER,504
BREVARD,100028,Bed Census,PARRISH MEDICAL CENTER,91
BREVARD,100028,Available,PARRISH MEDICAL CENTER,84
BREVARD,100028,Available Capacity,PARRISH MEDICAL CENTER,0.48
BREVARD,100028,Total Staffed Bed Capacity,PARRISH MEDICAL CENTER,175
BREVARD,100092,Bed Census,ROCKLEDGE REGIONAL MEDICAL CENTER,137
BREVARD,100092,Available,ROCKLEDGE REGIONAL MEDICAL CENTER,64
BREVARD,100092,Available Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,0.318407960
BREVARD,100092,Total Staffed Bed Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,201
BREVARD,100177,Bed Census,CAPE CANAVERAL HOSPITAL,85
BREVARD,100177,Available,CAPE CANAVERAL HOSPITAL,55
BREVARD,100177,Available Capacity,CAPE CANAVERAL HOSPITAL,0.392857143
BREVARD,100177,Total Staffed Bed Capacity,CAPE CANAVERAL HOSPITAL,140
BREVARD,104024,Bed Census,"CIRCLES OF CARE, INC",32
BREVARD,104024,Available,"CIRCLES OF CARE, INC",20
BREVARD,104024,Available Capacity,"CIRCLES OF CARE, INC",0.384615385
BREVARD,104024,Total Staffed Bed Capacity,"CIRCLES OF CARE, INC",52
BREVARD,110027,Bed Census,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,55
BREVARD,110027,Available,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,5
BREVARD,110027,Available Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0.083333333
BREVARD,110027,Total Staffed Bed Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,60
BREVARD,110036,Bed Census,DEVEREUX FLORIDA,100
BREVARD,110036,Available,DEVEREUX FLORIDA,0
BREVARD,110036,Available Capacity,DEVEREUX FLORIDA,0
BREVARD,110036,Total Staffed Bed Capacity,DEVEREUX FLORIDA,100
BREVARD,120007,Bed Census,PALM BAY HOSPITAL,83
BREVARD,120007,Available,PALM BAY HOSPITAL,32
BREVARD,120007,Available Capacity,PALM BAY HOSPITAL,0.278260870
BREVARD,120007,Total Staffed Bed Capacity,PALM BAY HOSPITAL,115
BREVARD,23960034,Bed Census,MELBOURNE REGIONAL MEDICAL CENTER,36
BREVARD,23960034,Available,MELBOURNE REGIONAL MEDICAL CENTER,69
BREVARD,23960034,Available Capacity,MELBOURNE REGIONAL MEDICAL CENTER,0.657142857
BREVARD,23960034,Total Staffed Bed Capacity,MELBOURNE REGIONAL MEDICAL CENTER,105
BREVARD,23960090,Bed Census,KINDRED HOSPITAL MELBOURNE,47
BREVARD,23960090,Available,KINDRED HOSPITAL MELBOURNE,13
BREVARD,23960090,Available Capacity,KINDRED HOSPITAL MELBOURNE,0.216666667
BREVARD,23960090,Total Staffed Bed Capacity,KINDRED HOSPITAL MELBOURNE,60
BREVARD,23960092,Bed Census,VIERA HOSPITAL,50
BREVARD,23960092,Available,VIERA HOSPITAL,34
BREVARD,23960092,Available Capacity,VIERA HOSPITAL,0.404761905
BREVARD,23960092,Total Staffed Bed Capacity,VIERA HOSPITAL,84
BREVARD,23960153,Bed Census,PALM POINT BEHAVIORAL HEALTH,35
BREVARD,23960153,Available,PALM POINT BEHAVIORAL HEALTH,9
BREVARD,23960153,Available Capacity,PALM POINT BEHAVIORAL HEALTH,0.204545455
BREVARD,23960153,Total Staffed Bed Capacity,PALM POINT BEHAVIORAL HEALTH,44
BROWARD,100038,Bed Census,MEMORIAL REGIONAL HOSPITAL,574
BROWARD,100038,Available,MEMORIAL REGIONAL HOSPITAL,202
BROWARD,100038,Available Capacity,MEMORIAL REGIONAL HOSPITAL,0.260309278
BROWARD,100038,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL,776
BROWARD,100039,Bed Census,BROWARD HEALTH MEDICAL CENTER,364
BROWARD,100039,Available,BROWARD HEALTH MEDICAL CENTER,24
BROWARD,100039,Available Capacity,BROWARD HEALTH MEDICAL CENTER,0.061855670
BROWARD,100039,Total Staffed Bed Capacity,BROWARD HEALTH MEDICAL CENTER,388
BROWARD,100042,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,74
BROWARD,100042,Available,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,45
BROWARD,100042,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,0.378151261
BROWARD,100042,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,119
BROWARD,100056,Bed Census,CLEVELAND CLINIC HOSPITAL,200
BROWARD,100056,Available,CLEVELAND CLINIC HOSPITAL,30
BROWARD,100056,Available Capacity,CLEVELAND CLINIC HOSPITAL,0.130434783
BROWARD,100056,Total Staffed Bed Capacity,CLEVELAND CLINIC HOSPITAL,230
BROWARD,100073,Bed Census,HOLY CROSS HOSPITAL,196
BROWARD,100073,Available,HOLY CROSS HOSPITAL,152
BROWARD,100073,Available Capacity,HOLY CROSS HOSPITAL,0.436781609
BROWARD,100073,Total Staffed Bed Capacity,HOLY CROSS HOSPITAL,348
BROWARD,100086,Bed Census,BROWARD HEALTH NORTH,270
BROWARD,100086,Available,BROWARD HEALTH NORTH,10
BROWARD,100086,Available Capacity,BROWARD HEALTH NORTH,0.035714286
BROWARD,100086,Total Staffed Bed Capacity,BROWARD HEALTH NORTH,280
BROWARD,100120,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,47
BROWARD,100120,Available,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,16
BROWARD,100120,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,0.253968254
BROWARD,100120,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,63
BROWARD,100167,Bed Census,PLANTATION GENERAL HOSPITAL,119
BROWARD,100167,Available,PLANTATION GENERAL HOSPITAL,121
BROWARD,100167,Available Capacity,PLANTATION GENERAL HOSPITAL,0.504166667
BROWARD,100167,Total Staffed Bed Capacity,PLANTATION GENERAL HOSPITAL,240
BROWARD,100189,Bed Census,NORTHWEST MEDICAL CENTER,201
BROWARD,100189,Available,NORTHWEST MEDICAL CENTER,89
BROWARD,100189,Available Capacity,NORTHWEST MEDICAL CENTER,0.306896552
BROWARD,100189,Total Staffed Bed Capacity,NORTHWEST MEDICAL CENTER,290
BROWARD,100200,Bed Census,BROWARD HEALTH IMPERIAL POINT,112
BROWARD,100200,Available,BROWARD HEALTH IMPERIAL POINT,2
BROWARD,100200,Available Capacity,BROWARD HEALTH IMPERIAL POINT,0.017543860
BROWARD,100200,Total Staffed Bed Capacity,BROWARD HEALTH IMPERIAL POINT,114
BROWARD,100210,Bed Census,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,147
BROWARD,100210,Available,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,48
BROWARD,100210,Available Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,0.246153846
BROWARD,100210,Total Staffed Bed Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,195
BROWARD,100224,Bed Census,UNIVERSITY HOSPITAL AND MEDICAL CENTER,146
BROWARD,100224,Available,UNIVERSITY HOSPITAL AND MEDICAL CENTER,171
BROWARD,100224,Available Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,0.539432177
BROWARD,100224,Total Staffed Bed Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,317
BROWARD,100225,Bed Census,MEMORIAL REGIONAL HOSPITAL SOUTH,101
BROWARD,100225,Available,MEMORIAL REGIONAL HOSPITAL SOUTH,18
BROWARD,100225,Available Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,0.151260504
BROWARD,100225,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,119
BROWARD,100228,Bed Census,WESTSIDE REGIONAL MEDICAL CENTER,188
BROWARD,100228,Available,WESTSIDE REGIONAL MEDICAL CENTER,62
BROWARD,100228,Available Capacity,WESTSIDE REGIONAL MEDICAL CENTER,0.248
BROWARD,100228,Total Staffed Bed Capacity,WESTSIDE REGIONAL MEDICAL CENTER,250
BROWARD,100230,Bed Census,MEMORIAL HOSPITAL PEMBROKE,122
BROWARD,100230,Available,MEMORIAL HOSPITAL PEMBROKE,11
BROWARD,100230,Available Capacity,MEMORIAL HOSPITAL PEMBROKE,0.082706767
BROWARD,100230,Total Staffed Bed Capacity,MEMORIAL HOSPITAL PEMBROKE,133
BROWARD,103027,Bed Census,ST ANTHONY'S REHABILITATION HOSPITAL,10
BROWARD,103027,Available,ST ANTHONY'S REHABILITATION HOSPITAL,16
BROWARD,103027,Available Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,0.615384615
BROWARD,103027,Total Staffed Bed Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,26
BROWARD,103028,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,94
BROWARD,103028,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,16
BROWARD,103028,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0.145454545
BROWARD,103028,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,110
BROWARD,104001,Bed Census,SOUTH FLORIDA STATE HOSPITAL,303
BROWARD,104001,Available,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Available Capacity,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Total Staffed Bed Capacity,SOUTH FLORIDA STATE HOSPITAL,303
BROWARD,104015,Bed Census,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,26
BROWARD,104015,Available,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,24
BROWARD,104015,Available Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0.48
BROWARD,104015,Total Staffed Bed Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,50
BROWARD,104026,Bed Census,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,104026,Available,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0
BROWARD,104026,Available Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0
BROWARD,104026,Total Staffed Bed Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,110019,Bed Census,BROWARD HEALTH CORAL SPRINGS,154
BROWARD,110019,Available,BROWARD HEALTH CORAL SPRINGS,9
BROWARD,110019,Available Capacity,BROWARD HEALTH CORAL SPRINGS,0.055214724
BROWARD,110019,Total Staffed Bed Capacity,BROWARD HEALTH CORAL SPRINGS,163
BROWARD,111527,Bed Census,MEMORIAL HOSPITAL WEST,327
BROWARD,111527,Available,MEMORIAL HOSPITAL WEST,35
BROWARD,111527,Available Capacity,MEMORIAL HOSPITAL WEST,0.096685083
BROWARD,111527,Total Staffed Bed Capacity,MEMORIAL HOSPITAL WEST,362
BROWARD,23960050,Bed Census,MEMORIAL HOSPITAL MIRAMAR,125
BROWARD,23960050,Available,MEMORIAL HOSPITAL MIRAMAR,53
BROWARD,23960050,Available Capacity,MEMORIAL HOSPITAL MIRAMAR,0.297752809
BROWARD,23960050,Total Staffed Bed Capacity,MEMORIAL HOSPITAL MIRAMAR,178
CALHOUN,100112,Bed Census,CALHOUN-LIBERTY HOSPITAL,4
CALHOUN,100112,Available,CALHOUN-LIBERTY HOSPITAL,6
CALHOUN,100112,Available Capacity,CALHOUN-LIBERTY HOSPITAL,0.6
CALHOUN,100112,Total Staffed Bed Capacity,CALHOUN-LIBERTY HOSPITAL,10
CHARLOTTE,100047,Bed Census,BAYFRONT HEALTH PUNTA GORDA,91
CHARLOTTE,100047,Available,BAYFRONT HEALTH PUNTA GORDA,36
CHARLOTTE,100047,Available Capacity,BAYFRONT HEALTH PUNTA GORDA,0.283464567
CHARLOTTE,100047,Total Staffed Bed Capacity,BAYFRONT HEALTH PUNTA GORDA,127
CHARLOTTE,100077,Bed Census,BAYFRONT HEALTH PORT CHARLOTTE,135
CHARLOTTE,100077,Available,BAYFRONT HEALTH PORT CHARLOTTE,86
CHARLOTTE,100077,Available Capacity,BAYFRONT HEALTH PORT CHARLOTTE,0.389140271
CHARLOTTE,100077,Total Staffed Bed Capacity,BAYFRONT HEALTH PORT CHARLOTTE,221
CHARLOTTE,100236,Bed Census,FAWCETT MEMORIAL HOSPITAL,167
CHARLOTTE,100236,Available,FAWCETT MEMORIAL HOSPITAL,86
CHARLOTTE,100236,Available Capacity,FAWCETT MEMORIAL HOSPITAL,0.339920949
CHARLOTTE,100236,Total Staffed Bed Capacity,FAWCETT MEMORIAL HOSPITAL,253
CITRUS,100023,Bed Census,CITRUS MEMORIAL HOSPITAL,132
CITRUS,100023,Available,CITRUS MEMORIAL HOSPITAL,72
CITRUS,100023,Available Capacity,CITRUS MEMORIAL HOSPITAL,0.352941176
CITRUS,100023,Total Staffed Bed Capacity,CITRUS MEMORIAL HOSPITAL,204
CITRUS,100249,Bed Census,BAYFRONT HEALTH SEVEN RIVERS,75
CITRUS,100249,Available,BAYFRONT HEALTH SEVEN RIVERS,25
CITRUS,100249,Available Capacity,BAYFRONT HEALTH SEVEN RIVERS,0.25
CITRUS,100249,Total Staffed Bed Capacity,BAYFRONT HEALTH SEVEN RIVERS,100
CLAY,100016,Bed Census,KINDRED HOSPITAL-NORTH FLORIDA,48
CLAY,100016,Available,KINDRED HOSPITAL-NORTH FLORIDA,25
CLAY,100016,Available Capacity,KINDRED HOSPITAL-NORTH FLORIDA,0.342465753
CLAY,100016,Total Staffed Bed Capacity,KINDRED HOSPITAL-NORTH FLORIDA,73
CLAY,100226,Bed Census,ORANGE PARK MEDICAL CENTER,318
CLAY,100226,Available,ORANGE PARK MEDICAL CENTER,38
CLAY,100226,Available Capacity,ORANGE PARK MEDICAL CENTER,0.106741573
CLAY,100226,Total Staffed Bed Capacity,ORANGE PARK MEDICAL CENTER,356
CLAY,23960117,Bed Census,ASCENSION ST VINCENT'S CLAY COUNTY,106
CLAY,23960117,Available,ASCENSION ST VINCENT'S CLAY COUNTY,20
CLAY,23960117,Available Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,0.158730159
CLAY,23960117,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,126
COLLIER,100018,Bed Census,NAPLES COMMUNITY HOSPITAL,208
COLLIER,100018,Available,NAPLES COMMUNITY HOSPITAL,29
COLLIER,100018,Available Capacity,NAPLES COMMUNITY HOSPITAL,0.122362869
COLLIER,100018,Total Staffed Bed Capacity,NAPLES COMMUNITY HOSPITAL,237
COLLIER,110043,Bed Census,"WILLOUGH AT NAPLES, THE",58
COLLIER,110043,Available,"WILLOUGH AT NAPLES, THE",29
COLLIER,110043,Available Capacity,"WILLOUGH AT NAPLES, THE",0.333333333
COLLIER,110043,Total Staffed Bed Capacity,"WILLOUGH AT NAPLES, THE",87
COLLIER,120006,Bed Census,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,181
COLLIER,120006,Available,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,49
COLLIER,120006,Available Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,0.213043478
COLLIER,120006,Total Staffed Bed Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,230
COLLIER,23960025,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,109
COLLIER,23960025,Available,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0
COLLIER,23960025,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0
COLLIER,23960025,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,109
COLLIER,23960057,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,65
COLLIER,23960057,Available,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,35
COLLIER,23960057,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,0.35
COLLIER,23960057,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,100
COLLIER,23960116,Bed Census,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,28
COLLIER,23960116,Available,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,22
COLLIER,23960116,Available Capacity,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,0.44
COLLIER,23960116,Total Staffed Bed Capacity,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,50
COLUMBIA,100156,Bed Census,LAKE CITY MEDICAL CENTER,94
COLUMBIA,100156,Available,LAKE CITY MEDICAL CENTER,0
COLUMBIA,100156,Available Capacity,LAKE CITY MEDICAL CENTER,0
COLUMBIA,100156,Total Staffed Bed Capacity,LAKE CITY MEDICAL CENTER,94
DESOTO,100175,Bed Census,DESOTO MEMORIAL HOSPITAL,18
DESOTO,100175,Available,DESOTO MEMORIAL HOSPITAL,38
DESOTO,100175,Available Capacity,DESOTO MEMORIAL HOSPITAL,0.678571429
DESOTO,100175,Total Staffed Bed Capacity,DESOTO MEMORIAL HOSPITAL,56
DUVAL,100001,Bed Census,UF HEALTH JACKSONVILLE,442
DUVAL,100001,Available,UF HEALTH JACKSONVILLE,161
DUVAL,100001,Available Capacity,UF HEALTH JACKSONVILLE,0.266998342
DUVAL,100001,Total Staffed Bed Capacity,UF HEALTH JACKSONVILLE,603
DUVAL,100040,Bed Census,ASCENSION ST VINCENT'S RIVERSIDE,256
DUVAL,100040,Available,ASCENSION ST VINCENT'S RIVERSIDE,208
DUVAL,100040,Available Capacity,ASCENSION ST VINCENT'S RIVERSIDE,0.448275862
DUVAL,100040,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S RIVERSIDE,464
DUVAL,100088,Bed Census,BAPTIST MEDICAL CENTER JACKSONVILLE,376
DUVAL,100088,Available,BAPTIST MEDICAL CENTER JACKSONVILLE,108
DUVAL,100088,Available Capacity,BAPTIST MEDICAL CENTER JACKSONVILLE,0.223140496
DUVAL,100088,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER JACKSONVILLE,484
DUVAL,100117,Bed Census,BAPTIST MEDICAL CENTER - BEACHES,90
DUVAL,100117,Available,BAPTIST MEDICAL CENTER - BEACHES,60
DUVAL,100117,Available Capacity,BAPTIST MEDICAL CENTER - BEACHES,0.4
DUVAL,100117,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER - BEACHES,150
DUVAL,100151,Bed Census,MAYO CLINIC,254
DUVAL,100151,Available,MAYO CLINIC,50
DUVAL,100151,Available Capacity,MAYO CLINIC,0.164473684
DUVAL,100151,Total Staffed Bed Capacity,MAYO CLINIC,304
DUVAL,100179,Bed Census,MEMORIAL HOSPITAL JACKSONVILLE,304
DUVAL,100179,Available,MEMORIAL HOSPITAL JACKSONVILLE,195
DUVAL,100179,Available Capacity,MEMORIAL HOSPITAL JACKSONVILLE,0.390781563
DUVAL,100179,Total Staffed Bed Capacity,MEMORIAL HOSPITAL JACKSONVILLE,499
DUVAL,100184,Bed Census,BROOKS REHABILITATION HOSPITAL,131
DUVAL,100184,Available,BROOKS REHABILITATION HOSPITAL,8
DUVAL,100184,Available Capacity,BROOKS REHABILITATION HOSPITAL,0.057553957
DUVAL,100184,Total Staffed Bed Capacity,BROOKS REHABILITATION HOSPITAL,139
DUVAL,100196,Bed Census,CURAHEALTH JACKSONVILLE LLC,23
DUVAL,100196,Available,CURAHEALTH JACKSONVILLE LLC,2
DUVAL,100196,Available Capacity,CURAHEALTH JACKSONVILLE LLC,0.08
DUVAL,100196,Total Staffed Bed Capacity,CURAHEALTH JACKSONVILLE LLC,25
DUVAL,104016,Bed Census,RIVER POINT BEHAVIORAL HEALTH,54
DUVAL,104016,Available,RIVER POINT BEHAVIORAL HEALTH,30
DUVAL,104016,Available Capacity,RIVER POINT BEHAVIORAL HEALTH,0.357142857
DUVAL,104016,Total Staffed Bed Capacity,RIVER POINT BEHAVIORAL HEALTH,84
DUVAL,23960052,Bed Census,BAPTIST MEDICAL CENTER SOUTH,258
DUVAL,23960052,Available,BAPTIST MEDICAL CENTER SOUTH,64
DUVAL,23960052,Available Capacity,BAPTIST MEDICAL CENTER SOUTH,0.198757764
DUVAL,23960052,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER SOUTH,322
DUVAL,23960061,Bed Census,WEKIVA SPRINGS,82
DUVAL,23960061,Available,WEKIVA SPRINGS,59
DUVAL,23960061,Available Capacity,WEKIVA SPRINGS,0.418439716
DUVAL,23960061,Total Staffed Bed Capacity,WEKIVA SPRINGS,141
DUVAL,23960088,Bed Census,ASCENSION ST VINCENT'S SOUTHSIDE,116
DUVAL,23960088,Available,ASCENSION ST VINCENT'S SOUTHSIDE,19
DUVAL,23960088,Available Capacity,ASCENSION ST VINCENT'S SOUTHSIDE,0.140740741
DUVAL,23960088,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S SOUTHSIDE,135
DUVAL,23960123,Bed Census,UF HEALTH NORTH,72
DUVAL,23960123,Available,UF HEALTH NORTH,20
DUVAL,23960123,Available Capacity,UF HEALTH NORTH,0.217391304
DUVAL,23960123,Total Staffed Bed Capacity,UF HEALTH NORTH,92
DUVAL,23960157,Bed Census,WOLFSON CHILDREN'S HOSPITAL,142
DUVAL,23960157,Available,WOLFSON CHILDREN'S HOSPITAL,57
DUVAL,23960157,Available Capacity,WOLFSON CHILDREN'S HOSPITAL,0.286432161
DUVAL,23960157,Total Staffed Bed Capacity,WOLFSON CHILDREN'S HOSPITAL,199
ESCAMBIA,100025,Bed Census,ASCENSION SACRED HEART PENSACOLA,346
ESCAMBIA,100025,Available,ASCENSION SACRED HEART PENSACOLA,196
ESCAMBIA,100025,Available Capacity,ASCENSION SACRED HEART PENSACOLA,0.361623616
ESCAMBIA,100025,Total Staffed Bed Capacity,ASCENSION SACRED HEART PENSACOLA,542
ESCAMBIA,100093,Bed Census,BAPTIST HOSPITAL,335
ESCAMBIA,100093,Available,BAPTIST HOSPITAL,91
ESCAMBIA,100093,Available Capacity,BAPTIST HOSPITAL,0.213615023
ESCAMBIA,100093,Total Staffed Bed Capacity,BAPTIST HOSPITAL,426
ESCAMBIA,100231,Bed Census,WEST FLORIDA HOSPITAL,262
